Metronidazole_drugsCom	Metronidazole_MedEffect	Metronidazole_OpenFDA	Metronidazole_Twitter	sideefects
0.006880733944954129	0.00019175455417066154	0.0011107313738892687	0.017703132092601003	, cancer,tumor malignant,neoplasm cancer,blastoma,cancers,malignant tumors,malignant neoplasm,malignant neoplasms,malignant tumours,blastomas,malignancies,malignant tumor,malignant tumour,cancer nos,cancer neoplasms,ca cancer
0.02321981424148607	0.00039016777214202113	0.0021037868162692847	0.017354596622889306	, hyperthermia,febrile,elevated temperature,body increased temperature,febriles,temperature elevation,increase temperature,increases temperature,temperature high,fever,fevers,high temperatures,pyrexia,raised temperature,body high temperature,fevered,increased body temperature,febris,pyrexial,temperature increase,high temperature,high body temperature
0.019747235387045814	0.000390777647518562	0.00048295180141021924	0.009854771784232365	, infection dental,dental infections,tooth infection,dental infection,infections tooth,infection tooth
0.006960556844547564	0.0001963864886095837	0.0007209805335255948	0.006972111553784861	, ulcer, Ulcer
0.02442868400315209	0.014764079147640791	0.020118904015164567	0.006211180124223602	, abdominal pain, Abdominal pain
0.011084718923198731	0.000390777647518562	0.00039269585705870805	0.004677754677754678	, tooth infection, Tooth infection
0.001579778830963665	0.0013361328497804926	0.005104241552839685	0.004665629860031105	, urinary tract infection, Urinary tract infection
0.003918495297805642	0.00019661816751867872	0.0003097253768325418	0.004606172270842929	, cough, Cough
0.0007733952049497294	0.0003897116134060795	0.001048126473927854	0.004341534008683068	, occluded,blocked,obstructions,obstruction,occlusions,blocks,occlusion,block,occluding
0.008861622358554875	0.0009759906304899473	0.0017543859649122807	0.003998400639744102	, feels cold,cold feels,cold to touch,coldness,cold touch,feel cold,cold feel,cold feelings
0.0007898894154818325	0.005457522284882664	0.015950314065918555	0.003569607343192249	, drug interaction, Drug interaction
0.022463206816421367	0.0001941747572815534	0.0006428505831573148	0.003560528992878942	, ears infections,earings infection,earing infections,earring infection,ear infections,ears infection,infections ear,infection of ear,earring infections,infection ear,ear infection,of ear infection
