Venlafaxine_drugsCom	Venlafaxine_MedEffect	Venlafaxine_OpenFDA	Venlafaxine_Twitter	sideefects
0.054674862504044006	0.0006269592476489029	0.011271529888551166	0.060477536914860186	, depressed,depression moods,sadness,melancholic,depression,sad,feeling down,down feelings,down feeling,miserable,depressed mood,melancholy,depressing
0.03891050583657588	0.0006380263717566992	0.00405588102748986	0.014210919970082276	, feels cold,cold feels,cold to touch,coldness,cold touch,feel cold,cold feel,cold feelings
0.025485436893203886	0.0027589134125636672	0.001933301111648139	0.0129582806573957	, panics,panic,panicky,panic reaction
0.016913319238900642	0.00021445421402530558	0.00017050298380221653	0.00869667410976613	, wakefulness,arousing,vigilant,arous,aroused
0.02570694087403599	0.0006350550381033022	0.006262176454216532	0.008377605230894973	, sweat night,night sweat,nights sweats,night sweats
0.01288659793814433	0.0004282655246252677	0.00016931933626820184	0.008237986270022883	, death, Death
0.023376623376623367	0.0006350550381033022	0.0062639198218262795	0.007783695206882426	, night sweats, Night sweats
0.008896797153024912	0.004011824324324324	0.00886887706371947	0.007225708309564556	, mood swings, Mood swings
0.018823529411764704	0.00021422450728363329	0.0019404915912031046	0.007153502235469449	, stresses,stress,stressed,stressing
0.018823529411764704	0.00021422450728363329	0.0019404915912031046	0.007153502235469449	, stress, Stress
0.012522361359570662	0.0002143622722400857	0.0003370407819346141	0.006716417910447761	, alcoholic, Alcoholic
0.012522361359570662	0.0002143622722400857	0.0003370407819346141	0.006716417910447761	, alcoholism, Alcoholism
0.012522361359570662	0.0002143622722400857	0.0016420361247947454	0.006710408589322993	, alcoholisms,dipsomania,alcoholism chronic,addiction alcohol,chronic alcoholism,alcohol addiction,alcohol dependence syndrome,alcohol dependences,alcoholism disorders,dependence alcoholism alcohol,alcoholism,disorder alcoholism,alcoholism chronic disorders,alcohol dependence,alcohol dependency
0.0039603960396039604	0.0049170251997541475	0.0069682151589242035	0.005059631369714492	, disturbances sleeping,sleep disorders,problems sleeping,disorder sleeping,sleep disturbance,sleep disturbances,sleeping disorders,problem sleeping,disorders sleeping,problems sleep,disturbances sleep,problem sleep,sleep disordered,disorders sleeps,disturbance sleep,disturbance sleeping,disorder sleep,sleep problem,sleep disorder,disorders sleep,disturbed sleep
0.020202020202020204	0.0002140410958904109	0.0025919326097521467	0.004824120603015076	, depressions symptoms,symptoms of depression,depressive symptoms,depression symptoms,depression symptom,emotional depression,symptoms depression,depressive symptom
0.006006006006006006	0.009771986970684038	0.04878946206490544	0.0047169811320754715	, drug withdrawal syndrome,drug withdrawal,drugs withdrawal,drug withdrawals
0.013793103448275862	0.0006421232876712327	0.0021208907741251328	0.004348648137644167	, upsetting,upset,distressed,upsets
0.012012012012012012	0.001285071749839366	0.0008351428094204109	0.003712871287128713	, electric shock, Electric shock
0.0027397260273972607	0.0002140410958904109	0.0014920424403183025	0.003456689711264741	, depressive symptom, Depressive symptom
0.007407407407407408	0.0006273525721455458	0.011294416243654822	0.0032038446135362435	, depressed mood, Depressed mood
0.007707129094412331	0.0008526966531656363	0.0019246190858059344	0.003140333660451423	, night waking,night wake,interrupted sleep,middle insomnia,interrupting sleep,fitful sleep,night wakes,waking night
0.0007524454477050414	0.0008523332623055612	0.0004092769440654844	0.00284629981024668	, burns injuries,burned,burning lesions,burn,burning,burn lesion,burns,burn injury,burns injury,burning injuries,burn injuries,burnings,burning disorders
0.0007518796992481202	0.0026892842366570127	0.002813097783278947	0.00284629981024668	, burning sensation,burn sensation,burning,sensation burning,burning sensations
0.0028901734104046237	0.0002136295663319804	0.0024393962494282666	0.002791625124626121	, apnoea,breathing stopping,arrest breathing,pulmonary arrest,apneic,apnea,stopped breathing,apnoeas,apneas,apnoeic,not breathing,breathing stop
0.011560693641618495	0.0024783147459727386	0.009438305709023941	0.00267379679144385	, heart rate, Heart rate
0.007425742574257425	0.005682971382179825	0.01315413211323992	0.0024837600305693537	, mental confusion,bewilderment,confusional state,dazing,confusional states,confused,confusion,daze,dazed,confusion mental
0.008241758241758242	0.007618283881315156	0.018320119991429185	0.0024549918166939444	, attempts suicides,attempted suicide,suicide attempts,attempt suicide,suicide attempt
0.0025062656641604013	0.0010629251700680273	0.0058618283321702725	0.002401921537229784	, eating disorder,eating disorders,disordered eating,disorders eating,disorder eating
0.002531645569620253	0.0010629251700680273	0.005865102639296189	0.002205734910767997	, eating disorder, Eating disorder
0.002583979328165375	0.00021303792074989347	0.007304299889746416	0.002201761409127302	, disorder mood,affective disorder,mood disorder nos,affective disorders,affect disorders,affecting disorders,mood disorder,mood disorders,affecting disorder,affects disorder,disorders mood,affect disorder,affected disorder,disorder affect,affective mood disorders
0.005208333333333333	0.0008478168715557443	0.00949161357430763	0.002137998056365403	, disorder psychiatric,disease mental,mental disease,disorder mental,disorders health mental,disorder psychological,mental health disorder,disorder health mental,diseases mental,mental disorders,disorder mental health,psychological disorder,illnesses psychiatric,mental disorder disorder,disorders mental,psychiatric disorder,illness mental,disorders psychological,disorders psychiatric,illness psychiatric,mental illness,psychiatric disorders,illnesses mental,mental disorder,psychiatric illness
0.0017605633802816902	0.0002126754572522331	0.005116959064327485	0.0021141649048625802	, Bipolar disorder, Bipolar I disorder, bipolar i disorder, bipolar disorder
