Paroxetine_drugsCom	Paroxetine_MedEffect	Paroxetine_OpenFDA	Paroxetine_Twitter	sideefects
0.09720311783585513	0.000709891150023663	0.0006803562592775852	0.13645730669294867	, weight, Weight
0.13248878332013725	0.0010504201680672268	0.013168040809063407	0.06291316942731932	, depressed,depression moods,sadness,melancholic,depression,sad,feeling down,down feelings,down feeling,miserable,depressed mood,melancholy,depressing
0.12252475247524752	0.002944987631051949	0.0033759717533372565	0.01419137276942532	, panics,panic,panicky,panic reaction
0.0133248730964467	0.0003549455750118315	0.0004049844236760125	0.013553408480944712	, alcoholism, Alcoholism
0.0133248730964467	0.0003549455750118315	0.0004049844236760125	0.013553408480944712	, alcoholic, Alcoholic
0.0133248730964467	0.0003549455750118315	0.0013339951603896507	0.01354250469294717	, alcoholisms,dipsomania,alcoholism chronic,addiction alcohol,chronic alcoholism,alcohol addiction,alcohol dependence syndrome,alcohol dependences,alcoholism disorders,dependence alcoholism alcohol,alcoholism,disorder alcoholism,alcoholism chronic disorders,alcohol dependence,alcohol dependency
0.011176857330703484	0.003926096997690531	0.02267391756559984	0.009028987802946302	, disturbances sleeping,sleep disorders,problems sleeping,disorder sleeping,sleep disturbance,sleep disturbances,sleeping disorders,problem sleeping,disorders sleeping,problems sleep,disturbances sleep,problem sleep,sleep disordered,disorders sleeps,disturbance sleep,disturbance sleeping,disorder sleep,sleep problem,sleep disorder,disorders sleep,disturbed sleep
0.025557011795543903	0.0004711425206124853	0.003113648157758173	0.004189494038027715	, feels cold,cold feels,cold to touch,coldness,cold touch,feel cold,cold feel,cold feelings
0.008037508372404554	0.0002360996340455672	0.001794387897163011	0.004162330905306972	, major depression, Major depression
0.01413427561837456	0.00023640661938534283	0.0025089050642713336	0.003802938634399309	, depressions symptoms,symptoms of depression,depressive symptoms,depression symptoms,depression symptom,emotional depression,symptoms depression,depressive symptom
0.0184528034066714	0.0004731488052992666	0.001539408866995074	0.0037193575655114115	, cardiovascular collapse,shock disorder,circulatory collapse,collapse,vascular collapse,shocks,vascular shock,acute circulatory failure,shock,shocked,shocking,circulatory failure,disorders shock,shock, physiological,physiological shock,circulatory shock
0.02370275464445868	0.00211118930330753	0.014352187575537832	0.003616636528028933	, mood swings, Mood swings
0.0072098053352559486	0.00023640661938534283	0.0017100394863663216	0.002793783830976078	, depressive symptom, Depressive symptom
0.0014566642388929353	0.003926096997690531	0.022171162568632132	0.002396849854476973	, sleep disorder, Sleep disorder
0.0055944055944055935	0.01028307336799538	0.02994179538840385	0.0021516054286660046	, mental confusion,bewilderment,confusional state,dazing,confusional states,confused,confusion,daze,dazed,confusion mental
0.0041265474552957355	0.003233256351039261	0.011621504129836256	0.0020991441950589376	, psychosis nos,psychotic disorder,disorder psychotic,psychotic,psychoses,psychotic disorders,nos psychosis,disorders psychotic,psychotic disorder nos,atypical psychosis,mental disorder,psychosis,psychose,psychotics
0.027298850574712645	0.0004699248120300752	0.007266258630566526	0.001919050942079553	, sweat night,night sweat,nights sweats,night sweats
0.0014705882352941176	0.0015135638607521248	0.011065092415157322	0.0017642907551164433	, disorder sexual,dysfunctions sexual,sex dysfunction,dysfunction sexual,sexual disorder,sex dysfunctions,sexual dysfunction
0.02591792656587473	0.0004699248120300752	0.007266696818935625	0.0017488632388947185	, night sweats, Night sweats
0.01168384879725086	0.00011816140848398912	0.002721462862734306	0.0016366612111292965	, upsetting,upset,distressed,upsets
0.0014727540500736375	0.0015137401024685607	0.01067252366516117	0.0015887025595763462	, sexual dysfunction, Sexual dysfunction
0.002936857562408223	0.01285019680481593	0.16432911902773378	0.0015795015795015794	, drug withdrawal syndrome,drug withdrawal,drugs withdrawal,drug withdrawals
0.003692762186115214	0.00011832919181161992	0.0001870207593042828	0.0014146772767462425	, menopausal symptoms,menopausal symptom, menopausal symptoms, Menopausal symptoms
0.0025466893039049238	0.002786809103576405	0.0038909392612937375	0.0011501807426881367	, burning sensation,burn sensation,burning,sensation burning,burning sensations
0.008849557522123894	0.00023635074450484522	0.003462474265393973	0.001058574453069866	, electric shock, Electric shock
0.0014695077149155034	0.0001183011948420679	0.0006540629769209206	0.0010485844110450892	, sleep terror,night terrors sleep,night terror,sleep terrors,pavor nocturnus,night terrors,sleep terror disorder
0.0041870202372644785	0.0010507880910683009	0.013054055657746396	0.0010323468685478321	, depressed mood, Depressed mood
0.0036231884057971015	0.00011763321962122105	0.003320130475302889	0.0010300429184549355	, diabetic,diabetics
0.002896451846488052	0.0011809163911195087	0.004847666676893811	0.0010221465076660989	, jumpiness,jittery feeling,jitteriness,feeling jittery
0.010830324909747292	0.0027081125632874127	0.01256041621771388	0.0008821453775582216	, lack libido,libido decreased,loss libido,lack of libido,low libido,reduced libido,decreased libido,loss of libido,libido loss
0.002126151665485471	0.00023637867864318638	0.0005573790797052084	0.0008579272477693893	, ear
0.0014234875444839859	0.0008247908566042183	0.0008292637980281951	0.0008496176720475786	, hyperthermia,febrile,elevated temperature,body increased temperature,febriles,temperature elevation,increase temperature,increases temperature,temperature high,fever,fevers,high temperatures,pyrexia,raised temperature,body high temperature,fevered,increased body temperature,febris,pyrexial,temperature increase,high temperature,high body temperature
0.0056568196103079825	0.000353398515726234	0.003461048029631429	0.0008309788931361142	, Bipolar disorder, Bipolar I disorder, bipolar i disorder, bipolar disorder
0.0014771048744460858	0.0008239171374764593	0.001348314606741573	0.0007070885628424961	, breast cancer, Breast cancer, prostate cancer, Prostate cancer
0.00944081336238199	0.00046767216181456796	0.0038953811908736783	0.0007039774727208728	, personality change,changes personality,change in personality, personality change, Personality change
