Trazodone_drugsCom	Trazodone_MedEffect	Trazodone_OpenFDA	Trazodone_Twitter	sideefects
0.0608187134502924	0.00207223208999408	0.004555808656036446	0.02831594634873324	, disturbances sleeping,sleep disorders,problems sleeping,disorder sleeping,sleep disturbance,sleep disturbances,sleeping disorders,problem sleeping,disorders sleeping,problems sleep,disturbances sleep,problem sleep,sleep disordered,disorders sleeps,disturbance sleep,disturbance sleeping,disorder sleep,sleep problem,sleep disorder,disorders sleep,disturbed sleep
0.02485089463220676	0.003142857142857143	0.0016674245869334546	0.02209018890920171	, pain, Pain
0.02485089463220676	0.003142857142857143	0.0017832647462277093	0.02209018890920171	, pain sense,painful,sense of pain,pain,paining,pains
0.08972845336481698	0.0009457755359394704	0.0045721750489875895	0.015134837644468904	, night waking,night wake,interrupted sleep,middle insomnia,interrupting sleep,fitful sleep,night wakes,waking night
0.0054054054054054074	0.00207223208999408	0.004472271914132379	0.013986013986013986	, sleep disorder, Sleep disorder
0.008036739380022962	0.001248829222603809	0.002341235001463272	0.006424457244129375	, panic attack, Panic attack
0.008027522935779817	0.001248829222603809	0.002341235001463272	0.006418769366976538	, panic attack,attack panic,attacks panic,panic attacks
0.00945945945945946	0.00031635558367605187	0.0021482277121374865	0.005295429208472687	, apnoea,breathing stopping,arrest breathing,pulmonary arrest,apneic,apnea,stopped breathing,apnoeas,apneas,apnoeic,not breathing,breathing stop
0.009416195856873822	0.0012622278321236984	0.0036813922356091033	0.003586206896551724	, disorder anxiety,anxiety disorder nos,anxiety disorder,anxiety disorders,anxieties disorder,disorders anxiety
0.004021447721179625	0.0018703241895261843	0.0005817335660267597	0.003441353599082305	, difficulties sleep,difficulty sleep,difficulties sleeping,difficulty sleeping,sleeping difficulty,difficult sleeping,poor sleep
0.0011904761904761904	0.001269438273563948	0.0010504201680672268	0.0033531080732525148	, upsetting,upset,distressed,upsets
0.008991008991008992	0.0012622278321236984	0.0029888983774551663	0.0033444816053511705	, anxiety disorder, Anxiety disorder
0.003726708074534162	0.005233990147783251	0.002151859821703043	0.0027948574622694237	, depressed mood, Depressed mood
0.002418379685610641	0.0044589774078478	0.002243829468960359	0.0027742749054224464	, psychosis nos,psychotic disorder,disorder psychotic,psychotic,psychoses,psychotic disorders,nos psychosis,disorders psychotic,psychotic disorder nos,atypical psychosis,mental disorder,psychosis,psychose,psychotics
0.0012738853503184713	0.00031240237425804435	0.0019678583142013774	0.002685284640171859	, disorder psychiatric,disease mental,mental disease,disorder mental,disorders health mental,disorder psychological,mental health disorder,disorder health mental,diseases mental,mental disorders,disorder mental health,psychological disorder,illnesses psychiatric,mental disorder disorder,disorders mental,psychiatric disorder,illness mental,disorders psychological,disorders psychiatric,illness psychiatric,mental illness,psychiatric disorders,illnesses mental,mental disorder,psychiatric illness
0.01509433962264151	0.00291970802919708	0.002879891580552261	0.002621231979030144	, mental confusion,bewilderment,confusional state,dazing,confusional states,confused,confusion,daze,dazed,confusion mental
0.0013812154696132596	0.00031635558367605187	0.006571087216248507	0.0020396270396270395	, erectile dysfunction,erectile dysfunctions,dysfunction erectile,dysfunctioning erectile,male erectile disorder
0.0013812154696132596	0.00031635558367605187	0.006571087216248507	0.0020396270396270395	, erectile dysfunction, Erectile dysfunction
0.006958250497017893	0.0009282178217821783	0.0018135654697134566	0.0017465069860279439	, change moods,labile mood,change mood,changes mood,altered moods,altering mood,emotional lability,mood labile,mood swings,swings mood,emotionally labile,mood swing,emotional instability,mood change
0.006711409395973154	0.0021039975954313195	0.0024685262898049864	0.0015698587127158554	, heart rate, Heart rate
0.0013333333333333333	0.00031756113051762465	0.000970402717127608	0.0013553808620222286	, lump,a mass,mass,lumps
0.006243496357960458	0.0009282178217821783	0.001865671641791045	0.0012919896640826874	, mood swings, Mood swings
0.01092896174863388	0.0006351222610352492	0.0028653295128939827	0.0011655011655011655	, initial insomnia,trouble falling asleep
0.0013297872340425536	0.0025736345438947678	0.001880091915604763	0.0011611030478955006	, suicide attempt, Suicide attempt
0.0013054830287206266	0.0025736345438947678	0.001880091915604763	0.0011514104778353484	, attempts suicides,attempted suicide,suicide attempts,attempt suicide,suicide attempt
0.0075187969924812035	0.0003172588832487309	0.0006761325219743073	0.001119507416736636	, depressions symptoms,symptoms of depression,depressive symptoms,depression symptoms,depression symptom,emotional depression,symptoms depression,depressive symptom
0.002659574468085107	0.0003156565656565657	0.0026881720430107533	0.001098297638660077	, jumpiness,jittery feeling,jitteriness,feeling jittery
0.0023161551823972205	0.0015051173991571345	0.0019070321811680566	0.0010365379632029023	, burning sensation,burn sensation,burning,sensation burning,burning sensations
0.0013831258644536654	0.006458859870822803	0.003452243958573073	0.0008665511265164642	, drug-drug interaction,interactions drug,drug interaction with,drugs interactions,drug drug interactions,drug drugs interactions,drug drug interaction,drug interactions,drug interaction,interaction drug,drugs interaction
0.001298701298701299	0.0009666505558240695	0.00041430741610274817	0.0008645533141210375	, rheumatoid arthritis, Rheumatoid arthritis
0.002677376171352075	0.001964085297418631	0.0037394213737453256	0.0008625646923519264	, muscle spasms,muscles spasms,muscle spasm,spasms,spasms muscle,muscles spasmed,of muscle spasm,muscles spasm,spasm,spasm muscle,muscular spasms,muscular spasm
0.0026881720430107533	0.004700720777185835	0.0009606147934678194	0.0008484162895927602	, vitamin a, vitamin d
0.006273525721455458	0.001359064963305246	0.002968159740960604	0.0008412787436904094	, back pain, Back pain
