Adalimumab_drugsCom	Adalimumab_MedEffect	Adalimumab_OpenFDA	Adalimumab_Twitter	sideefects
0.3295615275813296	5.18289127589826e-05	3.3238050920694015e-05	0.2417636859053753	, injection, Injection
0.014218009478672985	0.0012165292678823331	0.004827164371559407	0.019248826291079813	, burning sensation,burn sensation,burning,sensation burning,burning sensations
0.014226437462951987	0.0002720489169862163	0.0016930340429056573	0.019248826291079813	, burns injuries,burned,burning lesions,burn,burning,burn lesion,burns,burn injury,burns injury,burning injuries,burn injuries,burnings,burning disorders
0.02601377199693956	0.0006478530151079323	0.0014088204119470633	0.017869415807560136	, frightened,fears,fear of,scared,scaring,scare,fright,frightening,afraid,of fear,fear,fearing,scares
0.07317073170731707	0.009482602274788195	0.1055109332855593	0.016170431211498974	, injections pain,pain injection,pain during injection,injection pain
0.005194805194805196	5.182421227197347e-05	9.969857796594961e-06	0.016140602582496413	, death, Death
0.036011080332409975	1.295722818974565e-05	0.0018138811741724586	0.012610340479192938	, autonomic disorder,autonomic disease,autonomic disorders nervous system,autonomic disease nervous system,autonomic diseases,autonomic disorders,autonomic nervous disorders,diseases ans,disease ans,autonomic diseases nervous system,disease autonomic,dysautonomia,ans disease
0.033660589060308554	9.069824693245573e-05	0.0005681931457963675	0.011913814955640051	, ulcer, Ulcer
0.020066889632107024	0.0003368093788457802	0.001430676899381257	0.011512415349887131	, feels cold,cold feels,cold to touch,coldness,cold touch,feel cold,cold feel,cold feelings
0.011444921316165951	0.0006478194397657482	0.0043410821816345984	0.010469867211440245	, erythematosus lupu,lupus erythematosus,lupus,lupu,lupus erythematosis,erythematosus lupus
0.0056417489421720715	0.00036275538626970863	0.001179206111941538	0.008295625942684766	, blood test, Blood test
0.011299435028248588	1.2956892418922244e-05	0.0006979341150195423	0.00776887594076232	, cough, Cough
0.004834810636583401	6.47836227001814e-05	0.00032547218375229576	0.007624328539247964	, stresses,stress,stressed,stressing
0.004834810636583401	6.47836227001814e-05	0.00032547218375229576	0.007624328539247964	, stress, Stress
0.0026560424966799467	0.0007384663220490497	0.004265483139050099	0.00740929994890138	, ears infections,earings infection,earing infections,earring infection,ear infections,ears infection,infections ear,infection of ear,earring infections,infection ear,ear infection,of ear infection
0.005714285714285714	3.887168456923695e-05	0.0030844808732271712	0.007349214394323365	, delivery, Delivery
0.0026666666666666666	0.0007384663220490497	0.0041061076690530355	0.0071592942981334685	, ear infection, Ear infection
0.014347202295552369	1.295722818974565e-05	0.00023265553022195338	0.006418485237483954	, lymphoma, Lymphoma
0.007192254495159059	0.0007508479403464257	0.0017125665355241842	0.0062494992388430395	, depressed,depression moods,sadness,melancholic,depression,sad,feeling down,down feelings,down feeling,miserable,depressed mood,melancholy,depressing
0.018666666666666668	0.00014252581660814467	0.0006845400289766459	0.005666420300566642	, ear
0.018666666666666668	0.00014252581660814467	0.0006878584673051234	0.005666420300566642	, Ear, nose and throat examination abnormal
0.045033112582781455	0.00033685301548228285	0.00385731262821747	0.004781077000503271	, aches ear,ear pains,earaches,pain ear,ears pain,otalgia,pain in ear,earache,ear pain,ache ears,pain in the ear,ear aches,ache ear,ear ache
0.0024390243902439024	6.477858679035059e-05	0.0005606255121098426	0.0041369800045966435	, upsetting,upset,distressed,upsets
0.008595988538681949	5.18289127589826e-05	0.00017615757128565114	0.004105722350526046	, fistula, Fistula
0.008595988538681949	5.18289127589826e-05	0.00023265785004204458	0.004105722350526046	, fistula,fistulas,fistula nos,fistulous tract
0.0428380187416332	0.00033685301548228285	0.003210427415124533	0.004047558816089046	, ear pain, Ear pain
0.005555555555555557	5.18289127589826e-05	0.00029911660894823953	0.003263052208835341	, ca stomach,stomach cancer,cancer gastric,of the stomach cancer,cancers stomach,malignant neoplasm of stomach,cancer of stomach,gastric cancer,gastric cancers,stomach ca,cancers gastric,cancer of the stomach,of stomach cancer,stomach cancers,cancer stomach
0.0054017555705604325	0.0002591378483784449	3.986830171001791e-05	0.0032248607446496626	, insomnia symptoms,insomnia,insomnia sleep disorder,sleeplessness,disorders insomnia sleep,insomnia symptom,insomnias
0.007246376811594203	0.0006478530151079323	0.001421841883209642	0.0031332851289467343	, abnormal fear,phobic neurosis,fear of,phobic disorder,phobias,phobia,of fear,phobic disorders
0.0056417489421720715	2.591412060431729e-05	0.00017282178086198188	0.0030511060259344014	, scan
0.0004991265285749938	5.182286943228046e-05	3.3227117314983105e-05	0.0028967696629213485	, anxiousness,anxiety,anxious,anxieties
0.005291005291005291	0.00011661505370771084	0.00024595667174090794	0.002543450614667232	, teething, Teething
0.005738880918220947	0.0013734483920288165	0.010796840014085724	0.002311841767274595	, injection reactions site,injection site reaction,reaction injection site, injection site reaction, Injection site reaction
0.002922267679719463	9.069589665850404e-05	0.0016566836625249574	0.002092621235556364	, depression nos,depressions,depression,depression disorder,depression diseases,depression disease,depression disorders,mental depression,disorder depression,depressive state,disease depression,depression mental
0.00423728813559322	0.0002330006601685372	0.0007611684929194782	0.0020713463751438435	, mood swings, Mood swings
0.00297441998810232	9.069589665850404e-05	2.991126325235136e-05	0.002037791774731382	, depression, Depression
0.002960331557134399	9.069589665850404e-05	0.0012816532004994484	0.0020282105651332166	, depressive disorder,depression,illness depressive,depressive disorder nos,depressive illness,depressive disorders,disorder depressive
